ASV,kingdom,phylum,class,order,family,genus,HexColor,ColorOrder
ASV_4663,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hungateiclostridiaceae,Anaerobacterium,#BEA89A,104
ASV_4664,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 4,#BEA89A,104
ASV_4665,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,#D0D0D0,188
ASV_4666,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Ileibacterium,#FBA22E,62
ASV_4667,Bacteria,Actinobacteriota,Actinobacteria,<not present>,<not present>,<not present>,#D0D0D0,188
ASV_4668,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,<not present>,<not present>,#D0D0D0,188
ASV_4669,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hydrogenoanaerobacterium,<not present>,#BEA89A,104
ASV_467,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,#D0D0D0,188
ASV_4670,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,#D0D0D0,188
ASV_4671,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,#D0D0D0,188
ASV_4672,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,#EE2C2C,146
ASV_4673,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,#5875DE,83
ASV_4674,Bacteria,Firmicutes,Bacilli,<not present>,<not present>,<not present>,#5875DE,83
ASV_4675,Bacteria,Firmicutes,Clostridia,<not present>,<not present>,<not present>,#BEA89A,104
ASV_4676,Bacteria,Firmicutes,<not present>,<not present>,<not present>,<not present>,#D0D0D0,188
ASV_4677,Bacteria,Firmicutes,<not present>,<not present>,<not present>,<not present>,#D0D0D0,188
ASV_4678,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,104
ASV_4679,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,<not present>,#BEA89A,104
ASV_468,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Enterorhabdus,#D0D0D0,188
ASV_4680,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas,#EE2C2C,146
ASV_4681,Bacteria,Firmicutes,Bacilli,Lactobacillales,<not present>,<not present>,#5875DE,83
ASV_4682,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,A2,#BEA89A,104
