SampleID	Acidobacteria	Actinobacteria	Bacteroidetes	Chlamydiae	Chloroflexi	Cyanobacteria	Deferribacteres	Deinococcus_Thermus	Dependentiae	Epsilonbacteraeota	Euryarchaeota	Firmicutes	Fusobacteria	Lentisphaerae	Patescibacteria	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Verrucomicrobia	unclassified
1252P	0	211	12	0	0	101	0	0	0	0	0	47159	0	0	0	0	3313	0	0	0	9	126
1252V	0	350	0	0	0	11	0	0	0	0	0	32769	0	0	0	0	1399	0	0	0	0	7
1252W	0	5064	10	0	0	44	0	0	0	0	0	152188	0	0	0	0	5035	0	0	0	0	75
1253C	0	159	29	0	0	0	0	0	0	0	0	25339	0	0	0	0	0	0	0	0	0	0
1256B	0	7645	1242	0	0	0	0	0	0	0	0	34876	9	0	0	0	4429	0	0	0	0	0
1256C	0	629	2390	0	0	0	0	0	0	0	0	16715	0	0	4	0	9305	0	0	0	0	0
1257A	0	5751	0	0	0	0	0	0	0	0	0	29173	6	0	0	0	107	0	0	0	0	0
1257C	0	4594	407	0	0	0	0	0	0	0	0	27579	94	0	0	0	167	0	0	0	0	53
1259O	0	12643	2052	0	0	20	0	0	0	0	0	254319	44	0	0	0	228	0	0	5	24	10
1259W	0	15720	6764	0	0	35	0	5	0	3	0	257777	81	0	0	27	2394	0	0	45	498	36
1261E	0	1181	219	0	0	8	0	0	0	0	0	20957	0	0	0	0	4	0	0	0	0	0
1264A	0	16239	15	0	0	0	0	0	0	0	0	27402	0	0	0	0	0	0	0	0	6	0
1266C	0	405	28954	0	0	0	0	0	0	0	0	59203	0	0	0	0	9904	0	0	0	102	0
1269A	0	7900	10	0	0	0	0	0	0	0	0	87612	0	0	0	0	9	0	0	0	6	14
1270A	0	12822	6017	0	0	0	0	0	0	0	0	122472	82	0	0	0	7325	0	0	0	2	0
1272B	0	2433	11098	0	0	0	0	0	0	0	0	82851	0	0	0	0	33	0	0	0	0	9
1276D	0	51	0	0	0	2	0	0	0	0	0	11533	0	0	0	0	0	0	0	0	0	28
1276E	0	41	0	0	0	0	0	0	0	0	0	6749	0	0	0	0	3	0	0	0	0	9
1279B	0	4887	0	0	0	0	0	0	0	0	0	101720	31	0	2	0	8	0	0	0	0	11
1280A	0	233	218	0	0	0	0	0	0	0	0	45367	0	0	0	0	23	0	0	0	0	205
1290B	0	2361	66	0	0	6	0	0	0	0	0	44550	0	0	3	0	15	0	0	0	8	0
1290C	0	424	11	0	0	0	0	0	0	0	0	11575	0	0	0	0	0	0	0	0	5	0
1290D	0	1693	45	0	0	0	0	0	0	0	0	59245	0	0	7	0	0	0	0	0	13	0
1290E	0	552	0	0	0	0	0	0	0	0	0	55022	0	0	0	0	15	0	0	0	5	17
1290F	0	766	11	0	0	0	0	0	0	0	0	56498	0	0	0	0	14	0	0	0	0	22
