SampleID,0,1
628A,0.59621733,-2.257227
994A,-3.2986233,-0.23548271
712A,0.58509475,0.7454919
972A,-1.3573873,0.74054044
712B,-0.9347567,5.291123
972B,-2.6107175,5.063854
712C,-2.4485602,0.6580048
498A,-2.9856405,0.7536694
672A,-3.5380797,0.00853628
672B,-2.6875703,1.517112
672C,-2.0186288,1.3271388
672D,-1.6930355,5.6136875
880A,-2.0365486,2.196973
880B,-2.0969214,1.6680783
1351A,-2.1840067,0.26935664
1351B,-1.3623878,0.84741765
1378A,0.080943964,-2.4594932
1285A,-1.0516334,5.1179323
1378B,0.40698674,1.5127159
668A,-3.5779278,-0.7403039
1351C,-4.8014884,1.7219007
668B,-3.1738973,0.13507874
668C,-3.2955751,0.9338067
668D,-3.15972,1.0037702
668E,-2.522497,4.746184
1285B,-5.062625,1.6279058
772A,-2.2283185,1.2899989
1378D,-2.9162145,1.1840141
1456A,0.33234143,4.5842695
1520B,2.8493445,6.5080423
185A,-2.4364312,7.4194155
1161A,-1.7368612,0.3305505
1161B,-0.014206245,-1.7691064
1161C,2.887672,5.987334
1161D,-2.5079086,6.9645023
1520C,-3.1240673,-1.099649
663A,3.131159,2.8250625
640A,-3.4392016,-0.051362555
640B,-3.2822442,0.6695441
640C,-2.5276895,1.4885364
1398A,-2.6170557,-1.6770468
977A,-2.8584661,0.6525795
1398B,-0.9098886,-1.669779
977B,-2.5584629,6.4145317
1398D,-1.0636936,-1.6867043
1533A,-2.5576618,-0.5156906
FMT.0140A,-2.4168084,-0.9323702
2003A,0.068384066,0.5287916
1392A,-5.005581,1.4498008
1392B,-4.927706,1.2848217
2003B,-2.4803114,6.207712
2003D,-3.4917917,7.361728
2003E,-1.8946213,7.143496
883A,-2.362437,0.5186277
FMT.0125A,-1.5852416,-0.3097197
883B,1.179538,0.4237268
727A,-3.3841705,-0.38037482
2003F,-4.5668745,1.6804553
1398E,-1.0372427,-1.7124497
1376A,0.33695027,4.437348
1376B,-2.1661937,5.225223
883D,1.74606,2.9322743
1376C,-3.0453236,4.3225336
614A,-3.2842314,-0.14655752
FMT.0100A,-3.1052177,-0.9991451
1376D,-1.3693334,5.6633534
868A,-2.4829648,6.0576315
1189A,-4.598014,1.4028827
FMT.0083W,-5.003787,1.0423834
1189B,2.1262772,1.638093
1189C,-2.5177188,-1.2748171
1189D,-0.6794067,-2.0210779
1189E,-2.720023,-1.7199204
2008A,-3.3194652,0.5679183
619A,0.8094049,0.6917677
112A,-2.1745534,0.42269322
619B,-2.6852515,7.4911904
FMT.0097O,0.642658,5.3836327
FMT.0078A,0.75975597,-1.1790131
2008D,5.8706217,3.4810739
2021A,-3.507595,-0.779376
1376E,-5.183403,1.2765436
FMT.0083X,-4.278893,0.0010499058
2000A,-3.7461696,-1.0552819
FMT.0098R,4.219731,3.07605
1201A,-1.3848807,-0.52176285
FMT.0016F,-1.3171463,-0.6835008
2000B,-1.8520327,-1.864688
1805C,-3.765232,-0.7617575
